iter	Passed	Remaining
422	2267	3092
423	2272	3087
424	2277	3081
425	2283	3076
426	2289	3071
427	2294	3066
428	2299	3060
429	2305	3055
430	2310	3050
431	2315	3044
432	2322	3040
433	2327	3035
434	2332	3030
435	2338	3024
436	2342	3018
437	2348	3012
438	2353	3007
439	2359	3002
440	2364	2996
441	2369	2991
442	2374	2984
443	2378	2978
444	2383	2972
445	2388	2966
446	2393	2960
447	2398	2954
448	2403	2949
449	2410	2946
450	2415	2940
451	2420	2934
452	2425	2929
453	2430	2923
454	2436	2918
455	2441	2912
456	2446	2906
457	2451	2901
458	2457	2896
459	2462	2890
460	2467	2885
461	2473	2880
462	2478	2874
463	2483	2869
464	2488	2863
465	2494	2857
466	2498	2851
467	2504	2846
468	2510	2841
469	2516	2837
470	2521	2832
471	2527	2827
472	2532	2821
473	2537	2815
474	2542	2810
475	2548	2805
476	2553	2799
477	2559	2795
478	2564	2789
479	2569	2784
480	2575	2778
481	2581	2773
482	2585	2767
483	2590	2762
484	2595	2756
485	2600	2750
486	2606	2745
487	2611	2739
488	2616	2734
489	2621	2728
490	2626	2722
491	2630	2716
492	2636	2711
493	2641	2705
494	2646	2700
495	2652	2695
496	2658	2690
497	2663	2684
498	2668	2678
499	2673	2673
500	2677	2667
501	2682	2661
502	2688	2656
503	2693	2650
504	2698	2644
505	2703	2639
506	2708	2633
507	2713	2627
508	2718	2622
509	2724	2617
510	2729	2611
511	2734	2605
512	2738	2600
513	2743	2594
514	2748	2588
515	2754	2583
516	2759	2578
517	2764	2572
518	2769	2566
519	2774	2561
520	2779	2555
521	2783	2549
522	2789	2543
523	2794	2538
524	2800	2533
525	2805	2528
526	2810	2522
527	2816	2517
528	2821	2512
529	2826	2506
530	2831	2500
531	2836	2494
532	2840	2489
533	2845	2483
534	2849	2476
535	2854	2471
536	2860	2466
537	2865	2461
538	2870	2455
539	2875	2449
540	2880	2444
541	2885	2438
542	2890	2432
543	2896	2427
544	2901	2422
545	2906	2416
546	2912	2411
547	2917	2406
548	2923	2401
549	2928	2396
550	2935	2392
551	2941	2386
552	2947	2382
553	2952	2376
554	2957	2371
555	2963	2366
556	2968	2361
557	2973	2355
558	2978	2349
559	2983	2343
560	2988	2338
561	2993	2333
562	2998	2327
563	3004	2322
564	3009	2316
565	3014	2311
566	3020	2306
567	3025	2301
568	3030	2295
569	3036	2290
570	3041	2285
571	3047	2280
572	3052	2275
573	3058	2269
574	3066	2266
575	3071	2261
576	3077	2256
577	3083	2251
578	3089	2246
579	3093	2240
580	3099	2235
581	3104	2229
582	3109	2224
583	3115	2219
584	3120	2213
585	3125	2208
586	3131	2202
587	3137	2198
588	3142	2193
589	3149	2188
590	3154	2183
591	3159	2177
592	3164	2171
593	3169	2166
594	3174	2160
595	3179	2154
596	3184	2149
597	3189	2144
598	3194	2138
599	3199	2133
600	3206	2129
601	3212	2123
602	3217	2118
603	3223	2113
604	3227	2107
605	3231	2101
606	3238	2096
607	3243	2091
608	3249	2086
609	3254	2080
610	3260	2075
611	3266	2070
612	3271	2065
613	3277	2060
614	3282	2054
615	3286	2049
616	3291	2043
617	3296	2037
618	3301	2032
619	3306	2026
620	3312	2021
621	3316	2015
622	3322	2010
623	3328	2005
624	3333	2000
625	3339	1995
626	3344	1989
627	3350	1984
628	3356	1979
629	3361	1974
630	3366	1968
631	3372	1963
632	3377	1958
633	3382	1952
634	3387	1947
635	3393	1942
636	3398	1936
637	3404	1931
638	3410	1926
639	3416	1921
640	3422	1916
641	3427	1911
642	3433	1906
643	3438	1900
644	3443	1895
645	3448	1889
646	3454	1884
647	3459	1879
648	3464	1873
649	3470	1868
650	3476	1863
651	3481	1858
652	3486	1852
653	3492	1847
654	3496	1841
655	3501	1836
656	3506	1830
657	3511	1825
658	3516	1819
659	3522	1814
660	3527	1809
661	3533	1804
662	3538	1798
663	3544	1793
664	3550	1788
665	3556	1783
666	3561	1778
667	3567	1773
668	3572	1767
669	3577	1762
670	3582	1756
671	3588	1751
672	3593	1745
673	3599	1740
674	3604	1735
675	3610	1730
676	3614	1724
677	3619	1719
678	3624	1713
679	3629	1707
680	3634	1702
681	3640	1697
682	3644	1691
683	3650	1686
684	3654	1680
685	3660	1675
686	3666	1670
687	3671	1664
688	3676	1659
689	3681	1654
690	3686	1648
691	3691	1642
692	3696	1637
693	3702	1632
694	3707	1626
695	3712	1621
696	3717	1616
697	3723	1610
698	3728	1605
699	3734	1600
700	3739	1594
701	3744	1589
702	3749	1584
703	3754	1578
704	3760	1573
705	3765	1568
706	3771	1562
707	3776	1557
708	3781	1551
709	3786	1546
710	3792	1541
711	3797	1536
712	3802	1530
713	3807	1525
714	3812	1519
715	3817	1514
716	3822	1508
717	3827	1503
718	3832	1497
719	3837	1492
720	3843	1487
721	3847	1481
722	3852	1475
723	3857	1470
724	3862	1465
725	3867	1459
726	3873	1454
727	3878	1448
728	3883	1443
729	3889	1438
730	3894	1433
731	3899	1427
732	3905	1422
733	3910	1417
734	3915	1411
735	3920	1406
736	3925	1400
737	3930	1395
738	3936	1390
739	3941	1384
740	3947	1379
741	3952	1374
742	3957	1368
743	3963	1363
744	3969	1358
745	3975	1353
746	3979	1347
747	3985	1342
748	3990	1337
749	3995	1331
750	4000	1326
751	4005	1320
752	4010	1315
753	4015	1310
754	4020	1304
755	4025	1299
756	4031	1294
757	4036	1288
758	4041	1283
759	4046	1277
760	4051	1272
761	4056	1267
762	4062	1261
763	4067	1256
764	4073	1251
765	4078	1245
766	4083	1240
767	4088	1234
768	4093	1229
769	4098	1224
770	4104	1219
771	4110	1213
772	4115	1208
773	4121	1203
774	4127	1198
775	4132	1192
776	4138	1187
777	4144	1182
778	4151	1177
779	4157	1172
780	4164	1167
781	4170	1162
782	4176	1157
783	4182	1152
784	4187	1147
785	4193	1141
786	4198	1136
787	4203	1130
788	4208	1125
789	4213	1120
790	4218	1114
791	4224	1109
792	4228	1103
793	4234	1098
794	4239	1093
795	4245	1087
796	4250	1082
797	4255	1077
798	4260	1071
799	4265	1066
800	4270	1061
801	4275	1055
802	4280	1050
803	4285	1044
804	4290	1039
805	4296	1034
806	4301	1028
807	4306	1023
808	4312	1018
809	4317	1012
810	4322	1007
811	4327	1001
812	4333	996
813	4338	991
814	4342	985
815	4348	980
816	4353	975
817	4358	969
818	4363	964
819	4369	959
820	4375	953
821	4380	948
822	4386	943
823	4391	937
824	4396	932
825	4400	927
826	4405	921
827	4411	916
828	4416	911
829	4421	905
830	4427	900
831	4432	895
