iter	MultiClass
0	1.070810253
1	1.046519167
2	1.02382056
3	1.006629329
4	0.9903919216
5	0.9756644408
6	0.9622860406
7	0.9492932438
8	0.9396219705
9	0.9313737836
10	0.921148255
11	0.911601397
12	0.9042302351
13	0.8952270703
14	0.8870503141
15	0.8814561341
16	0.8753959058
17	0.8695055486
18	0.8637468748
19	0.8592731836
20	0.8538570922
21	0.8495121936
22	0.8461371596
23	0.8410424462
24	0.8364610017
25	0.8328095975
26	0.8302625778
27	0.8261074535
28	0.8236378565
29	0.8213889419
30	0.8186638483
31	0.8159194639
32	0.8137554425
33	0.8107259357
34	0.8087670099
35	0.8070745519
36	0.8032347289
37	0.8000124118
38	0.7978446221
39	0.7952095589
40	0.7925288816
41	0.7908447638
42	0.7886079109
43	0.786397947
44	0.7839463726
45	0.7816059772
46	0.7803628433
47	0.7791050922
48	0.7775162267
49	0.7756743087
50	0.7744732468
51	0.7730893784
52	0.7714267084
53	0.768511584
54	0.7666810644
55	0.7650609494
56	0.7625164324
57	0.760938718
58	0.7598205042
59	0.7585913463
60	0.7573220959
61	0.7558338196
62	0.754381798
63	0.7523985604
64	0.7510582701
65	0.7491972192
66	0.7479416852
67	0.746907302
68	0.7458440479
69	0.7448882238
70	0.7435091126
71	0.7423345682
72	0.7406118972
73	0.7396849997
74	0.7386442701
75	0.7364438525
76	0.7358109034
77	0.7346425126
78	0.7327202714
79	0.7316368888
80	0.7310174018
81	0.7299713667
82	0.7286971328
83	0.7280190049
84	0.7270219539
85	0.7261017864
86	0.7242950587
87	0.723160197
88	0.721858883
89	0.7193793212
90	0.7180886549
91	0.7171739921
92	0.7154649005
93	0.7141647278
94	0.7131326136
95	0.7116665969
96	0.7107992907
97	0.7093537913
98	0.7089580669
99	0.7076228043
100	0.7068981362
101	0.7058369115
102	0.7048027021
103	0.7035957684
104	0.7029851896
105	0.7019004822
106	0.7012936112
107	0.7003237888
108	0.6993809304
109	0.6976046718
110	0.6964768563
111	0.6950775513
112	0.693826745
113	0.692744164
114	0.690626663
115	0.6894172171
116	0.6880375488
117	0.6870623462
118	0.6854021406
119	0.6843350513
120	0.6830798996
121	0.6818114639
122	0.6799808229
123	0.678766634
124	0.6780967114
125	0.6770277663
126	0.6761586211
127	0.6749068915
128	0.6727018027
129	0.6719990425
130	0.6705299536
131	0.6685174235
